"assembly_barcode","source_type","species","ST"
"ESC_FC3076AA_AS","Human","Escherichia coli",131
"ESC_FC3077AA_AS","Human","Escherichia coli",131
"ESC_FC3078AA_AS","Human","Escherichia coli",131
"ESC_FC3079AA_AS","Human","Escherichia coli",131
"ESC_FC3080AA_AS","Human","Escherichia coli",131
"ESC_FC3081AA_AS","Human","Escherichia coli",131
"ESC_FC3082AA_AS","Human","Escherichia coli",131
"ESC_FC3083AA_AS","Human","Escherichia coli",131
"ESC_FC3085AA_AS","Human","Escherichia coli",131
"ESC_FC3086AA_AS","Human","Escherichia coli",131
"ESC_FC3087AA_AS","Human","Escherichia coli",131
"ESC_GC2259AA_AS","Poultry","Escherichia coli",131
"ESC_FC3212AA_AS","Poultry","Escherichia coli",131
"ESC_FC3236AA_AS","Poultry","Escherichia coli",131
"ESC_FC3237AA_AS","Poultry","Escherichia coli",131
"ESC_FC3621AA_AS","Poultry","Escherichia coli",131
"ESC_FC4586AA_AS","Human","Escherichia coli",131
"ESC_FC4587AA_AS","Human","Escherichia coli",131
"ESC_FC5347AA_AS","Human","Escherichia coli",131
"ESC_GC7280AA_AS","Poultry","Escherichia coli",131
"ESC_FC6701AA_AS","Poultry","Escherichia coli",131
"ESC_FC6717AA_AS","Water/River","Escherichia coli",131
"ESC_FC6718AA_AS","Water/River","Escherichia coli",131
"ESC_GC7293AA_AS","Water/River","Escherichia coli",131
"ESC_GC7294AA_AS","Water/River","Escherichia coli",131
"ESC_FC6721AA_AS","Water/River","Escherichia coli",131
"ESC_FC6803AA_AS","Human","Escherichia coli",131
"ESC_FC6804AA_AS","Human","Escherichia coli",131
"ESC_FC6818AA_AS","Human","Escherichia coli",131
"ESC_FC6820AA_AS","Human","Escherichia coli",131
"ESC_FC6838AA_AS","Human","Escherichia coli",131
"ESC_FC6860AA_AS","Human","Escherichia coli",131
"ESC_FC6861AA_AS","Human","Escherichia coli",131
"ESC_FC6862AA_AS","Human","Escherichia coli",131
